Year,Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
1949,AFGHANISTAN,4,4.0,0.0,0.0,0.0,0.0,0.0031432607088141,0.0
1950,AFGHANISTAN,23,6.0,18.0,0.0,0.0,0.0,0.0031432607088141,0.0
1951,AFGHANISTAN,25,7.0,18.0,0.0,0.0,0.0,0.0032990509094393,0.0
1952,AFGHANISTAN,25,9.0,17.0,0.0,0.0,0.0,0.0033383858058947,0.0
1953,AFGHANISTAN,29,10.0,18.0,0.0,0.0,0.0,0.0037008286168349,0.0
1954,AFGHANISTAN,29,12.0,18.0,0.0,0.0,0.0,0.0037333710665838,0.0
1955,AFGHANISTAN,42,17.0,25.0,0.0,0.0,0.0,0.0052769942565734,0.0
1956,AFGHANISTAN,50,17.0,33.0,0.0,0.0,0.0,0.0062461533210704,0.0
1957,AFGHANISTAN,80,21.0,59.0,0.0,0.0,0.0,0.0097707435171235,0.0
1958,AFGHANISTAN,90,25.0,65.0,0.0,0.0,0.0,0.010869713421213,0.0
1959,AFGHANISTAN,105,30.0,70.0,0.0,5.0,0.0,0.0125099661392489,0.0
1960,AFGHANISTAN,113,35.0,74.0,0.0,5.0,0.0,0.0132800452553739,0.0
1961,AFGHANISTAN,134,48.0,80.0,0.0,6.0,0.0,0.0154158064450895,0.0
1962,AFGHANISTAN,188,81.0,99.0,0.0,8.0,0.0,0.0211662349939664,0.0
1963,AFGHANISTAN,193,72.0,107.0,0.0,14.0,0.0,0.021283960252939,0.0
1964,AFGHANISTAN,229,82.0,130.0,0.0,17.0,0.0,0.0247026939467461,0.0
1965,AFGHANISTAN,275,104.0,148.0,0.0,23.0,0.0,0.0291277206026035,0.0
1966,AFGHANISTAN,298,117.0,157.0,0.0,24.0,0.0,0.0307933270878979,0.0
1967,AFGHANISTAN,350,109.0,152.0,71.0,18.0,0.0,0.0354220096519835,0.0
1968,AFGHANISTAN,334,91.0,136.0,95.0,13.0,0.0,0.032978772117685,0.0
