country,iso_code,year,population,gdp,energy_per_capita,electricity_generation,renewables_share_elec,continent,gdp_per_capita,income_tier
Afghanistan,AFG,2022,40578847.0,53303471617.0,1111.573,0.96,86.458,Asia,1313.5777765445134,Low
Albania,ALB,2022,2827614.0,36171005594.0,9147.205,6.97,100.0,Europe,12792.059168613538,Medium
Algeria,DZA,2022,45477391.0,595820067103.0,16145.337,91.47,0.94,Africa,13101.456657946803,Medium
American Samoa,ASM,2022,48365.0,772427102234.5,32839.422,0.18,5.556,Oceania,15970786.772138944,High
Angola,AGO,2022,35635028.0,158346237030.0,2713.824,17.31,75.563,Africa,4443.555847072717,Low
Antigua and Barbuda,ATG,2022,92850.0,69808416489.0,32896.395,0.36,5.556,North America,751840.780710824,High
Argentina,ARG,2022,45407904.0,854914363923.0,22049.938,145.61,29.03,South America,18827.43506335373,Medium
Armenia,ARM,2022,2880880.0,39721734780.0,17722.293,9.88,34.109,Asia,13788.056003721085,Medium
Aruba,ABW,2022,107792.0,69808416489.0,45827.121,1.0,17.0,North America,647621.4977827668,High
Australia,AUS,2022,26200987.0,1344251444393.0,63386.535,272.92,32.039,Oceania,51305.37427437371,High
Austria,AUT,2022,9064678.0,398815419150.0,42122.105,64.47,78.191,Europe,43996.64490564364,High
Azerbaijan,AZE,2022,10295307.0,175370552026.0,20425.451,28.94,6.358,Asia,17034.028419550774,Medium
Bahamas,BHS,2022,397542.0,69808416489.0,31185.008,2.05,0.976,North America,175600.10386072416,High
Bahrain,BHR,2022,1533460.0,58769760175.0,161782.953,35.68,0.224,Asia,38324.938488777014,High
Bangladesh,BGD,2022,169384891.0,858143907016.0,3023.729,102.25,1.555,Asia,5066.236439093024,Low
Barbados,BRB,2022,282324.0,3408005977.0,19859.146,1.09,7.339,North America,12071.2584725351,Medium
Belarus,BLR,2022,9173240.0,175773799265.0,33086.91,37.18,3.389,Europe,19161.582959237956,Medium
Belgium,BEL,2022,11641814.0,489678394377.0,59651.605,94.33,25.898,Europe,42062.03555365169,High
Belize,BLZ,2022,402741.0,69808416489.0,9349.882,0.47,87.234,North America,173333.27495586494,High
Benin,BEN,2022,13759507.0,33290362034.0,1841.329,0.99,2.02,Africa,2419.444390994532,Low
Bermuda,BMU,2022,64772.0,69808416489.0,36450.684,0.63,1.587,North America,1077756.074986105,High
Bhutan,BTN,2022,780921.0,313873824295.0,20151.467,10.77,100.0,Asia,401927.7549137493,High
Bolivia,BOL,2022,12077156.0,78165311428.0,8554.576,11.67,35.733,South America,6472.162107370312,Low
Bosnia and Herzegovina,BIH,2022,3204802.0,47069138435.0,28264.172,16.35,32.049,Europe,14687.06598254744,Medium
Botswana,BWA,2022,2439895.0,39293967463.0,12002.065,2.56,0.391,Africa,16104.778059301732,Medium
Brazil,BRA,2022,210306411.0,3187412907763.0,17744.193,677.16,87.703,South America,15156.042521989499,Medium
British Virgin Islands,VGB,2022,38346.0,69808416489.0,20253.197,0.17,0.0,North America,1820487.5733844468,High
Brunei,BRN,2022,455374.0,313873824295.0,117670.914,5.6,0.0,Asia,689266.0193489308,High
