country,cluster,co2_per_capita,energy_per_capita,gdp_per_capita,forest_area
Afghanistan,0,0.28,1200.74,1827.99,0.03
Albania,0,1.69,7353.77,11187.77,0.02
Algeria,0,3.89,14733.6,12711.02,0.05
Andorra,0,4.88,13300.52,11546.04,0.0
Angola,0,0.5,2326.4,4553.17,1.64
Anguilla,0,9.12,13300.52,11546.04,0.0
Antigua and Barbuda,0,6.7,31833.91,11546.04,0.0
Argentina,0,3.64,19117.82,16281.97,0.7
Armenia,0,2.35,15475.3,11546.04,0.01
Aruba,0,7.64,42530.23,11546.04,0.0
Australia,1,15.48,61584.26,47866.3,3.3
Austria,0,6.97,44852.16,40720.18,0.1
Azerbaijan,0,3.56,18162.77,15586.49,0.03
Bahamas,0,5.18,26472.56,11546.04,0.01
Bahrain,1,25.24,154316.02,37042.71,0.0
Bangladesh,0,0.58,2750.77,4536.18,0.05
Barbados,0,4.46,20380.82,10951.93,0.0
Belarus,0,6.32,30643.37,19294.42,0.22
Belgium,0,7.91,57530.32,38781.64,0.02
Belize,0,1.67,8861.93,11546.04,0.03
Benin,0,0.42,2427.81,2237.08,0.08
Bermuda,0,6.77,30691.56,11546.04,0.0
Bhutan,0,1.58,11798.36,11546.04,0.07
Bolivia,0,1.55,6708.88,6041.06,1.25
Bosnia and Herzegovina,0,6.31,17240.4,12786.03,0.05
Botswana,0,2.62,9292.53,13952.66,0.38
Brazil,0,2.15,16401.88,14139.58,12.24
British Virgin Islands,0,4.83,20171.9,11546.04,0.0
Brunei,1,24.94,131241.23,11546.04,0.01
Bulgaria,0,5.27,28177.62,17940.43,0.1
Burkina Faso,0,0.26,936.22,1586.1,0.15
Burundi,0,0.06,285.65,684.44,0.01
Cambodia,0,1.25,3623.19,3599.65,0.2
Cameroon,0,0.37,1444.28,2945.51,0.5
Canada,1,13.73,100465.11,42495.77,8.55
Cape Verde,0,1.01,5224.53,6569.34,0.0
Central African Republic,0,0.07,321.41,735.7,0.55
Chad,0,0.14,429.68,1381.35,0.11
Chile,0,4.14,22842.72,20220.67,0.45
China,0,7.64,29095.94,16935.52,5.42
Colombia,0,1.82,10227.39,12292.42,1.46
Comoros,0,0.46,1334.56,1987.83,0.0
Congo,0,1.34,3723.02,3945.38,0.54
Cook Islands,0,4.21,21013.74,11546.04,0.0
Costa Rica,0,1.34,8103.24,14193.72,0.07
Croatia,0,4.27,23110.64,21516.01,0.05
Cuba,0,1.9,8354.51,7306.79,0.08
Cyprus,0,5.3,21717.27,23351.73,0.0
Czechia,0,8.69,41949.02,30639.0,0.07
Democratic Republic of Congo,0,0.04,285.18,839.86,3.11
Denmark,0,4.85,32952.97,47167.45,0.02
Djibouti,0,0.42,2837.72,2826.38,0.0
Dominica,0,2.33,10187.7,8878.54,0.0
Dominican Republic,0,2.38,9056.88,14739.34,0.05
East Timor,0,0.49,1961.23,11546.04,0.02
Ecuador,0,1.85,10421.85,9287.85,0.31
Egypt,0,2.25,9028.07,11963.38,0.0
El Salvador,0,0.98,5385.43,8334.16,0.01
Equatorial Guinea,0,3.72,17686.46,11502.18,0.06
Eritrea,0,0.2,767.27,11546.04,0.03
Estonia,0,6.92,44171.18,28213.87,0.06
Eswatini,0,0.83,5737.61,7574.78,0.01
Ethiopia,0,0.14,578.01,2000.21,0.42
Fiji,0,1.5,7372.44,11546.04,0.03
Finland,0,6.82,56776.08,38879.53,0.55
France,0,4.27,37087.56,37001.5,0.43
French Polynesia,0,2.98,13222.44,11546.04,0.0
Gabon,0,2.43,6859.32,14865.23,0.58
Gambia,0,0.28,707.12,1676.4,0.01
Georgia,0,2.73,14982.39,15276.51,0.07
Germany,0,7.74,41838.68,44754.02,0.28
Ghana,0,0.6,2952.87,4193.88,0.2
Greece,0,5.19,25885.27,21475.83,0.1
Greenland,0,9.79,46130.31,11546.04,0.0
Grenada,0,2.49,11376.1,11546.04,0.0
Guatemala,0,0.99,5145.09,7501.0,0.09
Guinea,0,0.33,1554.84,1610.08,0.15
Guinea-Bissau,0,0.16,697.88,1460.22,0.05
Guyana,0,3.84,13916.22,11546.04,0.45
Haiti,0,0.29,1264.57,1617.38,0.01
Honduras,0,0.99,4248.17,4199.68,0.16
Hungary,0,4.83,27727.42,26110.56,0.05
Iceland,1,9.11,158421.69,39344.13,0.0
India,0,1.73,6268.44,6377.58,1.78
Indonesia,0,2.27,7700.86,11662.3,2.27
Iran,0,8.5,39001.84,16485.94,0.26
Iraq,0,4.09,14121.95,10759.36,0.02
Ireland,0,7.04,35439.92,55144.35,0.02
Israel,0,6.74,32400.35,33099.45,0.0
Italy,0,5.05,27764.08,32142.6,0.24
Jamaica,0,2.42,10215.15,6500.96,0.01
Japan,0,8.21,38203.22,36631.0,0.61
Jordan,0,1.9,9150.65,8702.5,0.0
Kazakhstan,0,14.46,37775.0,24059.67,0.09
Kenya,0,0.38,1565.24,3217.93,0.09
Kiribati,0,0.55,2468.37,11546.04,0.0
Kuwait,1,20.48,95378.4,45406.86,0.0
Kyrgyzstan,0,1.25,6305.92,4285.66,0.03
Laos,0,2.49,9092.15,6922.54,0.41
Latvia,0,3.68,21682.37,25402.33,0.08
Lebanon,0,4.16,17467.38,8903.72,0.0
Lesotho,0,0.89,1613.2,2068.03,0.0
Liberia,0,0.15,548.43,746.81,0.19
Libya,0,5.12,25645.62,11599.91,0.01
Liechtenstein,0,3.65,13300.52,11546.04,0.0
Lithuania,0,4.83,25143.19,28094.37,0.05
Luxembourg,1,12.8,64289.55,53679.59,0.0
Madagascar,0,0.13,409.26,1209.93,0.31
Malawi,0,0.1,402.5,1285.39,0.06
Malaysia,0,7.74,35317.52,23109.6,0.47
Maldives,0,3.34,10117.31,11546.04,0.0
Mali,0,0.29,1222.05,1316.51,0.33
Malta,0,3.09,71572.87,29551.75,0.0
Marshall Islands,0,3.43,13300.52,11546.04,0.0
Mauritania,0,1.04,4025.45,3106.3,0.01
Mauritius,0,2.96,17047.53,18763.35,0.0
Mexico,0,3.38,16329.47,14828.0,1.62
Moldova,0,1.67,13000.61,7215.82,0.01
Monaco,0,2.79,13300.52,11546.04,0.0
Mongolia,0,12.91,18992.55,12755.42,0.35
Montenegro,0,3.95,16963.93,17469.06,0.02
Montserrat,0,4.85,22780.91,11546.04,0.0
Morocco,0,1.76,6625.93,7804.35,0.14
Mozambique,0,0.21,1478.3,958.39,0.91
Myanmar,0,0.65,2963.5,6559.95,0.7
Namibia,0,1.26,6990.98,7514.54,0.16
Nauru,0,4.71,26711.46,11546.04,0.0
Nepal,0,0.54,1574.52,2992.14,0.15
Netherlands,0,7.77,56095.61,45522.13,0.01
New Caledonia,1,17.98,67648.06,11546.04,0.02
New Zealand,0,6.73,47200.77,36484.26,0.24
Nicaragua,0,0.71,3477.78,4359.15,0.08
Niger,0,0.13,522.74,927.22,0.03
Nigeria,0,0.58,2256.09,4953.64,0.53
Niue,0,4.02,17978.35,11546.04,0.0
North Korea,0,2.51,8332.38,1552.36,0.15
North Macedonia,0,3.73,14801.11,14476.46,0.02
Norway,1,7.67,103430.57,83558.71,0.3
Oman,1,15.89,79945.42,36535.14,0.0
Pakistan,0,0.92,4083.67,5114.97,0.09
Palau,0,11.72,13300.52,11546.04,0.0
Palestine,0,0.66,4169.64,4269.98,0.0
Panama,0,1.53,19829.7,17196.05,0.1
Papua New Guinea,0,0.81,2866.86,11546.04,0.88
Paraguay,0,1.13,7560.66,9462.44,0.4
Peru,0,1.44,8766.57,8922.09,1.78
Philippines,0,1.17,4583.8,7960.8,0.18
Poland,0,7.91,29845.54,28780.52,0.23
Portugal,0,4.03,25577.09,25333.76,0.08
Qatar,1,36.15,183122.62,128601.07,0.0
Romania,0,3.81,19053.2,24932.33,0.17
Russia,1,11.15,55172.79,24640.87,20.09
Rwanda,0,0.11,440.12,1840.53,0.01
Saint Helena,0,2.02,8166.85,11546.04,0.0
Saint Kitts and Nevis,0,5.16,22395.14,11546.04,0.0
Saint Lucia,0,2.73,13442.01,7638.36,0.0
Saint Pierre and Miquelon,0,10.64,49131.09,11546.04,0.0
Saint Vincent and the Grenadines,0,2.3,10105.65,11546.04,0.0
Samoa,0,1.11,6182.26,11546.04,0.0
San Marino,0,2.79,13300.52,11546.04,0.0
Sao Tome and Principe,0,0.66,2926.47,3721.91,0.0
Saudi Arabia,1,21.09,93195.88,52077.12,0.02
Senegal,0,0.64,2295.9,2784.13,0.2
Serbia,0,6.57,25791.17,15379.83,0.07
Seychelles,0,4.96,29880.9,23871.6,0.0
Sierra Leone,0,0.15,663.21,1366.75,0.06
Singapore,1,8.31,162517.11,72810.32,0.0
Sint Maarten (Dutch part),0,15.9,13300.52,11546.04,0.0
Slovakia,0,5.72,33203.39,26317.94,0.05
Slovenia,0,6.12,36764.93,28942.8,0.03
Solomon Islands,0,0.39,1751.73,11546.04,0.06
Somalia,0,0.07,341.12,11546.04,0.15
South Africa,0,7.19,23110.01,11159.93,0.42
South Korea,1,11.52,65364.6,38590.25,0.15
South Sudan,0,0.16,627.95,11546.04,0.18
Spain,0,4.44,29844.28,30631.79,0.46
Sri Lanka,0,0.9,4653.03,11963.5,0.05
Sudan,0,0.42,1715.85,11546.04,0.45
Suriname,0,4.77,15335.73,11546.04,0.37
Sweden,0,3.54,57977.38,44127.81,0.69
Switzerland,0,3.98,35831.17,60863.55,0.03
Syria,0,1.54,5133.15,2654.34,0.01
Tajikistan,0,0.97,4753.3,4387.88,0.01
Tanzania,0,0.26,939.82,2959.0,1.13
Thailand,0,3.8,19257.48,15051.79,0.49
Togo,0,0.35,1275.36,1633.29,0.03
Tonga,0,1.32,7536.79,11546.04,0.0
Trinidad and Tobago,1,23.66,114341.89,24972.58,0.01
Tunisia,0,2.41,9408.24,10100.64,0.02
Turkey,0,4.84,21161.5,23576.6,0.55
Turkmenistan,0,9.05,63923.27,13174.15,0.1
Turks and Caicos Islands,0,8.09,41699.66,11546.04,0.0
Tuvalu,0,1.06,0.0,11546.04,0.0
Uganda,0,0.12,613.9,2062.55,0.06
Ukraine,0,4.64,20556.21,9600.07,0.24
United Arab Emirates,1,22.78,125363.31,73932.09,0.01
United Kingdom,0,4.84,29440.06,34665.77,0.08
United States,1,13.82,72562.67,53109.72,7.63
Uruguay,0,1.91,13378.59,18556.35,0.05
Uzbekistan,0,3.22,16072.52,10325.18,0.09
Vanuatu,0,0.69,3630.97,11546.04,0.01
Vatican,0,2.79,13300.52,11546.04,0.0
Venezuela,0,2.84,18557.82,4852.66,1.14
Vietnam,0,3.7,12527.92,7673.69,0.36
Yemen,0,0.3,1708.18,1675.92,0.01
Zambia,0,0.52,2019.73,3320.23,1.1
Zimbabwe,0,0.55,2136.03,1492.81,0.43
